"service_id","date","exception_type"
"1","20241202","1"
"1","20241119","1"
"1","20241108","1"
"1","20241219","1"
"1","20241114","1"
"1","20241031","1"
"1","20241125","1"
"1","20241203","1"
"1","20241120","1"
"1","20241112","1"
"1","20241101","1"
"1","20241118","1"
"1","20241212","1"
"1","20241129","1"
"1","20241107","1"
"1","20241218","1"
"1","20241030","1"
"1","20241113","1"
"1","20241213","1"
"1","20241105","1"
"1","20241205","1"
"1","20241122","1"
"1","20241216","1"
"1","20241111","1"
"1","20241211","1"
"1","20241128","1"
"1","20241106","1"
"1","20241217","1"
"1","20241206","1"
"1","20241209","1"
"1","20241126","1"
"1","20241220","1"
"1","20241115","1"
"1","20241104","1"
"1","20241204","1"
"1","20241121","1"
"1","20241210","1"
"1","20241127","1"
"2","20241221","1"
"2","20241214","1"
"2","20241207","1"
"2","20241130","1"
"2","20241123","1"
"2","20241116","1"
"2","20241109","1"
"3","20241102","1"
